LGOROWLENGTH	4
CREATED	"2013/07/19"  # Time: 22:45
INSTRUMENTATION	"Unknown"
MEASUREMENT_SOURCE	"Illumination=Unknown	ObserverAngle=Unknown	WhiteBase=Abs	Filter=Unknown"
QUANTITY	"TRANSMITTANCE"
KEYWORD	"Model"
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
KEYWORD	"Substrate"
KEYWORD	"RefractiveIndex"
KEYWORD	"Thickness"
NUMBER_OF_FIELDS	26
BEGIN_DATA_FORMAT
Model	SampleID	SAMPLE_NAME	Substrate	RefractiveIndex	Thickness	nm360	nm380	nm400	nm420	nm440	nm460	nm480	nm500	nm520	nm540	nm560	nm580	nm600	nm620	nm640	nm660	nm680	nm700	nm720	nm740
END_DATA_FORMAT
NUMBER_OF_SETS	42
BEGIN_DATA
Roscolux	0001	LightBastardAmber	PET	1.575	38	0.46	0.59	0.62	0.58	0.47	0.36	0.29	0.27	0.30	0.38	0.60	0.69	0.82	0.86	0.88	0.88	0.88	0.88	0.88	0.88
Roscolux	0005	RoseTint	PC	1.585	76.2	0.62	0.72	0.75	0.75	0.70	0.64	0.59	0.57	0.58	0.64	0.71	0.80	0.85	0.87	0.88	0.88	0.88	0.88	0.88	0.88
Roscolux	0010	MediumYellow	PC	1.585	76.2	0.34	0.06	0	0	0	0	0.17	0.74	0.86	0.87	0.87	0.87	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88
Roscolux	0018	Flame	PET	1.575	38	0.38	0.49	0.48	0.36	0.22	0.15	0.12	0.14	0.20	0.41	0.53	0.66	0.76	0.76	0.78	0.78	0.78	0.78	0.79	0.79
Roscolux	0023	Orange	PET	1.575	38	0.12	0.17	0.14	0.09	0.04	0.02	0.01	0.02	0.04	0.08	0.18	0.45	0.75	0.84	0.87	0.87	0.88	0.88	0.88	0.88
Roscolux	0025	OrangeRed	PC	1.585	76.2	0.02	0.05	0.09	0.06	0.02	0	0	0	0	0	0.01	0.08	0.40	0.71	0.83	0.87	0.87	0.88	0.88	0.88
Roscolux	0030	LightSalmonPink	PC	1.585	76.2	0.33	0.46	0.50	0.46	0.35	0.24	0.19	0.17	0.19	0.26	0.36	0.58	0.77	0.83	0.85	0.85	0.85	0.85	0.85	0.86
Roscolux	0035	LightPink	PC	1.585	76.2	0.55	0.69	0.77	0.77	0.73	0.66	0.59	0.53	0.49	0.50	0.56	0.69	0.80	0.86	0.88	0.88	0.88	0.88	0.88	0.88
