#
#   Spectrum of the blue flame from a butane torch showing excited molecular radical band emission and Swan bands.
#   Wikipedia User:Eli Rabett
#   Ocean Optics HR2000 spectrometer
#
#   the division between CH and C2 (Swan bands) is about 433 nm
#
#   File talk:Spectrum of blue flame - intensity corrected.png
#   January 2007
#   https://en.wikipedia.org/wiki/File_talk:Spectrum_of_blue_flame_-_intensity_corrected.png

wavelength,irradiance
188.06,0
188.53,0
189.01,0
189.48,0
189.95,0
190.43,0
190.9,0
191.37,0
191.85,0
192.32,0
192.79,0
193.27,0
193.74,0
194.21,0
194.69,0
195.16,0
195.63,0
196.11,0
196.58,0
197.05,0.001
197.53,0
198,0
198.47,0
198.95,0
199.42,0
199.89,0
200.37,0
200.84,0
201.31,0
201.78,0
202.26,0
202.73,0
203.2,0
203.68,0
204.15,0
204.62,0
205.09,0
205.57,0
206.04,0
206.51,0
206.98,0
207.46,0
207.93,0
208.4,0
208.87,0
209.35,0
209.82,0
210.29,0.004
210.76,0
211.24,0
211.71,0
212.18,0
212.65,0
213.13,0
213.6,0
214.07,0
214.54,0
215.01,0
215.49,0
215.96,0
216.43,0
216.9,-0.002
217.38,-0.001
217.85,0
218.32,-0.001
218.79,0
219.26,0
219.74,0
220.21,0
220.68,0
221.15,0
221.62,0
222.09,0
222.57,0
223.04,0.002
223.51,0
223.98,0.001
224.45,0
224.92,0.002
225.4,0
225.87,0
226.34,0
226.81,0.001
227.28,0
227.75,0
228.22,0
228.7,0
229.17,0
229.64,0
230.11,0
230.58,-0.002
231.05,0.001
231.52,0
231.99,0
232.47,0.001
232.94,0
233.41,0
233.88,0
234.35,0
234.82,0
235.29,0.012
235.76,0.014
236.23,0.002
236.7,0.015
237.18,0.001
237.65,0.001
238.12,0.001
238.59,0
239.06,0
239.53,0
240,-0.004
240.47,0
240.94,0
241.41,0
241.88,0.001
242.35,0
242.82,0
243.29,-0.016
243.76,0.003
244.24,0
244.71,0
245.18,0
245.65,0
246.12,0
246.59,0.001
247.06,0.002
247.53,0.001
248,0.001
248.47,0.001
248.94,0.004
249.41,0
249.88,0
250.35,0
250.82,0.001
251.29,0.002
251.76,0.001
252.23,-0.001
252.7,0.001
253.17,0.003
253.64,0.003
254.11,0.001
254.58,0.001
255.05,-0.001
255.52,0.001
255.99,0.004
256.46,0.002
256.93,0.001
257.4,-0.002
257.87,-0.004
258.34,0.001
258.81,0.016
259.28,0.005
259.75,0.002
260.21,0.002
260.68,0.002
261.15,-0.012
261.62,-0.003
262.09,0.044
262.56,-0.005
263.03,0
263.5,0.004
263.97,0.002
264.44,0.002
264.91,0.002
265.38,0.003
265.85,0.095
266.32,0.006
266.79,0.003
267.25,0.006
267.72,0.009
268.19,0.012
268.66,0.002
269.13,0.001
269.6,0.003
270.07,0.008
270.54,0.019
271.01,0.005
271.48,-0.004
271.94,0.004
272.41,0.019
272.88,0.013
273.35,0.029
273.82,-0.003
274.29,-0.004
274.76,0.069
275.23,-0.038
275.69,0.011
276.16,-0.035
276.63,0.031
277.1,-0.012
277.57,-0.056
278.04,0.009
278.51,-0.04
278.97,0.012
279.44,0.11
279.91,0.005
280.38,0.015
280.85,-0.003
281.32,0.081
281.78,-0.022
282.25,-0.046
282.72,-0.015
283.19,-0.045
283.66,-0.024
284.12,-0.112
284.59,0.474
285.06,-0.043
285.53,0.012
286,0.027
286.46,0.015
286.93,0.184
287.4,-0.087
287.87,0.179
288.34,0.027
288.8,0.029
289.27,0.032
289.74,0.013
290.21,0.023
290.68,0.046
291.14,-0.121
291.61,0.03
292.08,0.111
292.55,-0.155
293.01,0.025
293.48,0.11
293.95,0.03
294.42,0.025
294.88,0.011
295.35,0.018
295.82,0.05
296.29,0.03
296.75,0.036
297.22,0.049
297.69,0.084
298.16,0.033
298.62,0.021
299.09,0.024
299.56,0.112
300.03,-0.094
300.49,0.041
300.96,0.045
301.43,0.027
301.89,0.047
302.36,0.095
302.83,0.028
303.29,0.073
303.76,-0.033
304.23,1.459
304.7,0.483
305.16,1.254
305.63,0.123
306.1,0.33
306.56,0.262
307.03,0.689
307.5,0.266
307.96,0.147
308.43,0.129
308.9,0.388
309.36,0.207
309.83,7.898
310.3,-0.316
310.76,-0.375
311.23,0.554
311.7,0.417
312.16,0.198
312.63,0.157
313.1,-2.116
313.56,0.319
314.03,0.226
314.5,0.411
314.96,0.897
315.43,-0.409
315.89,-1.984
316.36,0.328
316.83,0.415
317.29,-0.595
317.76,0.797
318.23,5.015
318.69,-0.223
319.16,0.174
319.62,0.266
320.09,0.208
320.56,2.192
321.02,0.202
321.49,0.105
321.95,0.11
322.42,0.348
322.89,0.249
323.35,0.239
323.82,0.571
324.28,0.18
324.75,0.235
325.21,0.129
325.68,0.109
326.15,0.184
326.61,-0.275
327.08,-1.533
327.54,0.225
328.01,0.189
328.47,4.497
328.94,0.121
329.4,0.345
329.87,0.166
330.34,0.147
330.8,0.178
331.27,0.288
331.73,-1.853
332.2,0.211
332.66,0.102
333.13,0.162
333.59,0.467
334.06,0.269
334.52,0.132
334.99,0.118
335.45,0.116
335.92,0.487
336.38,0.327
336.85,0.11
337.31,0.365
337.78,0.244
338.24,0.61
338.71,0.351
339.17,0.529
339.64,0.244
340.1,0.191
340.57,0.965
341.03,0.15
341.5,0.352
341.96,0.511
342.43,0.161
342.89,0.971
343.36,0.467
343.82,0.287
344.29,0.15
344.75,0.645
345.22,7.75
345.68,0.222
346.14,0.187
346.61,0.22
347.07,0.177
347.54,0.174
348,0.122
348.47,0.296
348.93,0.149
349.4,0.274
349.86,0.363
350.32,0.427
350.79,0.3
351.25,0.206
351.72,0.173
352.18,0.297
352.64,0.179
353.11,0.242
353.57,0.273
354.04,0.261
354.5,0.284
354.96,0.214
355.43,0.284
355.89,0.245
356.36,0.319
356.82,0.291
357.28,0.33
357.75,0.28
358.21,0.191
358.68,0.15
359.14,0.231
359.6,0.214
360.07,0.206
360.53,0.195
360.99,0.188
361.46,0.163
361.92,0.208
362.39,0.189
362.85,0.206
363.31,0.177
363.78,0.132
364.24,0.208
364.7,0.208
365.17,0.244
365.63,0.271
366.09,0.153
366.56,0.156
367.02,0.173
367.48,0.133
367.95,0.157
368.41,0.162
368.87,0.186
369.34,0.146
369.8,0.157
370.26,0.179
370.72,0.14
371.19,0.175
371.65,0.164
372.11,0.159
372.58,0.199
373.04,0.173
