#  INSTRUMENTATION	"BabelColor_Avg20"
#  QUANTITY	REFLECTANCE
Wavelength	dark skin	light skin	blue sky	foliage	blue flower	bluish green	orange	purplish blue	moderate red	purple	yellow green	orange yellow	blue	green	red	yellow	magenta	cyan	white 9.5	neutral 8	neutral 6.5	neutral 5	neutral 3.5	black 2
380	0.055	0.121	0.141	0.051	0.158	0.145	0.053	0.132	0.098	0.095	0.060	0.062	0.064	0.051	0.049	0.056	0.155	0.114	0.199	0.182	0.152	0.109	0.068	0.031
390	0.058	0.148	0.184	0.054	0.209	0.185	0.053	0.171	0.116	0.119	0.061	0.062	0.074	0.053	0.048	0.053	0.202	0.145	0.259	0.240	0.197	0.133	0.076	0.032
400	0.061	0.180	0.254	0.055	0.300	0.250	0.053	0.233	0.131	0.148	0.062	0.063	0.094	0.054	0.047	0.052	0.284	0.192	0.421	0.367	0.272	0.163	0.083	0.032
410	0.062	0.197	0.307	0.056	0.380	0.299	0.053	0.290	0.136	0.172	0.063	0.064	0.138	0.055	0.047	0.052	0.346	0.235	0.660	0.506	0.330	0.181	0.086	0.032
420	0.062	0.201	0.325	0.057	0.412	0.323	0.053	0.329	0.134	0.182	0.064	0.064	0.192	0.057	0.047	0.052	0.362	0.259	0.811	0.566	0.349	0.187	0.088	0.033
430	0.062	0.204	0.331	0.059	0.425	0.340	0.054	0.362	0.132	0.176	0.066	0.065	0.239	0.059	0.047	0.054	0.355	0.284	0.863	0.581	0.356	0.191	0.090	0.033
440	0.061	0.208	0.334	0.060	0.429	0.358	0.054	0.387	0.131	0.160	0.070	0.066	0.280	0.062	0.047	0.056	0.334	0.316	0.877	0.586	0.360	0.194	0.091	0.033
450	0.061	0.216	0.333	0.062	0.429	0.383	0.054	0.399	0.129	0.139	0.075	0.066	0.311	0.066	0.046	0.059	0.305	0.352	0.884	0.587	0.361	0.195	0.091	0.032
460	0.061	0.229	0.327	0.062	0.422	0.420	0.055	0.390	0.126	0.118	0.086	0.067	0.312	0.074	0.045	0.066	0.275	0.390	0.890	0.588	0.361	0.194	0.090	0.032
470	0.061	0.250	0.314	0.063	0.405	0.466	0.056	0.359	0.121	0.100	0.104	0.069	0.281	0.092	0.045	0.081	0.246	0.426	0.894	0.587	0.359	0.193	0.090	0.032
480	0.061	0.277	0.300	0.065	0.381	0.509	0.058	0.313	0.116	0.085	0.137	0.072	0.231	0.123	0.044	0.108	0.217	0.446	0.897	0.585	0.357	0.192	0.089	0.032
490	0.062	0.304	0.287	0.068	0.348	0.545	0.060	0.257	0.111	0.074	0.190	0.077	0.175	0.176	0.044	0.154	0.189	0.444	0.901	0.585	0.356	0.192	0.089	0.032
500	0.065	0.325	0.271	0.076	0.313	0.567	0.067	0.207	0.106	0.065	0.269	0.090	0.126	0.244	0.044	0.228	0.167	0.423	0.905	0.586	0.356	0.192	0.089	0.032
510	0.070	0.330	0.251	0.103	0.282	0.575	0.088	0.167	0.101	0.059	0.377	0.129	0.090	0.306	0.045	0.339	0.148	0.384	0.906	0.586	0.357	0.192	0.089	0.032
520	0.076	0.314	0.231	0.146	0.254	0.571	0.123	0.137	0.096	0.056	0.478	0.208	0.066	0.338	0.045	0.464	0.126	0.335	0.908	0.587	0.358	0.192	0.089	0.032
530	0.079	0.289	0.215	0.177	0.229	0.553	0.151	0.117	0.093	0.053	0.533	0.303	0.052	0.334	0.046	0.557	0.107	0.280	0.907	0.586	0.358	0.192	0.089	0.032
540	0.080	0.277	0.200	0.183	0.214	0.524	0.172	0.105	0.093	0.051	0.551	0.378	0.045	0.316	0.047	0.613	0.099	0.229	0.907	0.586	0.358	0.192	0.089	0.032
550	0.084	0.279	0.184	0.170	0.208	0.488	0.200	0.097	0.094	0.051	0.547	0.426	0.041	0.293	0.049	0.647	0.101	0.183	0.910	0.586	0.358	0.192	0.089	0.032
560	0.090	0.280	0.167	0.149	0.202	0.443	0.250	0.090	0.097	0.052	0.529	0.468	0.039	0.261	0.052	0.670	0.103	0.144	0.910	0.585	0.358	0.192	0.089	0.032
570	0.102	0.294	0.156	0.132	0.195	0.398	0.338	0.086	0.109	0.052	0.505	0.521	0.038	0.228	0.058	0.692	0.109	0.117	0.912	0.587	0.359	0.192	0.089	0.032
580	0.119	0.344	0.150	0.121	0.194	0.349	0.445	0.084	0.157	0.051	0.471	0.575	0.038	0.196	0.071	0.709	0.136	0.100	0.912	0.587	0.359	0.192	0.089	0.031
590	0.134	0.424	0.147	0.114	0.202	0.299	0.536	0.084	0.268	0.053	0.427	0.613	0.038	0.164	0.103	0.722	0.199	0.089	0.912	0.586	0.359	0.191	0.088	0.031
600	0.143	0.489	0.144	0.109	0.216	0.253	0.583	0.084	0.401	0.059	0.381	0.631	0.038	0.134	0.177	0.731	0.290	0.081	0.910	0.584	0.357	0.190	0.088	0.031
610	0.147	0.523	0.141	0.104	0.231	0.223	0.590	0.084	0.501	0.073	0.346	0.637	0.039	0.114	0.313	0.739	0.400	0.076	0.912	0.582	0.356	0.189	0.087	0.032
